actual_fra,actual_eng,predicted_eng
que se passeraitil ,what would happen,what  going     
pouvonsnous le prouver ,can we prove it,can we drop it    
êtesvous raciste ,are you a racist,are you racist     
cest un nouveau venu,hes a newcomer,it a  school    
je me suis senti responsable,i felt responsible,i felt responsible     
où se trouve votre père ,where is your father,wheres your      
nous sommes des garçons,were boys,were free      
je suis femme au foyer,im a housewife,i am a housewife    
jai fait une liste,i made a list,i made a list    
soyez sérieuse ,be serious,be serious      
je suis en bas,im downstairs,im in      
venez par ici ,walk this way,come over here     
ce nest pas une excuse,thats no excuse,thats not a     
tom a de longs bras,tom has long arms,tom has long     
tom méprisait marie,tom despised mary,tom teased mary     
tu ne peux pas perdre,you cannot lose,you cant lose up    
vous êtes très talentueuse,youre very talented,youre very talented     
nous vivons ensemble,we live together,we live together     
nous étions tous les deux fatigués,we were both tired,we were both tired    
va à lhôpital,go to the hospital,go ahead      
vous nêtes pas normal,youre not normal,youre not normal     
je ne peux pas me limaginer,i cant imagine that,i cant blame myself    
comment puisje payer,how can i pay,how can i pay    
je veux une part de tarte,i want a piece of pie,i want a  of   
elle est toubib,she is a doctor,shes is a doctor    
je ne suis pas comme ça,im not like that,im not like that    
je veux que vous soyez revenu,i want you back,i want you back    
jouvris la fenêtre,i opened the window,i have the window    
couvrezvous les yeux,cover your eyes,tie your eyes     
ce seau fuit,this bucket leaks,this is a gold    
tom nest jamais seul,tom is never alone,tom never alone     
avezvous fait ceci ,did you do this,did you do this    
ça tient debout,it makes sense,this makes up     
arrête dêtre aussi fouineuse,stop being so curious,stop being so too    
jaime celuilà,i like that one,i like enjoy one    
on le découvrira bientôt,well soon find out,we all soon     
ne comptez pas sur les autres,dont rely on others,dont count in the    
ils aimeront cela,theyll like that,they understood that     
tout est brisé,everything is broken,this is      
cest important,it matters,thats important      
je ne vais pas le risquer,i wont risk it,im not in it    
mettez vos pyjamas,put on your pajamas,put your      
je peux manger ça,can i eat that,i can eat that    
jai fait mes devoirs,i did my homework,i did my homework    
nen astu rien à faire ,dont you care,dont you care do    
il écrasa la boîte,he crushed the box,he is the box    
ce siège estil libre ,is this seat free,is this seat empty    
silence sil vous plaît ,quiet please,silence please      
tom est immobile,tom is immobile,tom is still     
je dois aider ma mère,i must help my mother,i need to my mother   
saistu son nom ,do you know his name,can you her name    
vous mavez manqué aujourdhui,i missed you today,i missed you today    
il ne sagit pas dargent,its not about money,thats not money     
vous conduisez,you drive,you       
il a abandonné lidée,he abandoned the idea,he gave the     
nous venons datterrir,we just landed,we just this     
vous êtes astucieux,youre crafty,youre crafty      
je nen suis pas fière,im not proud of it,im not proud of that   
je devenais nerveux,i got nervous,i got nervous     
nous avons tous peur,were all scared,were all scared     
elle la aidé,she helped him,she helped him     
tom a lair vaincu,tom seems defeated,tom seems defeated     
continue le bon boulot,keep up the good work,keep the  job    
ils ont attrapé tom,they caught tom,they caught tom     
permettezmoi dessayer,let me try,let me      
cest un tableau,this is a painting,this is a coincidence    
ce nest même pas vrai,its not even true,its not  isnt    
je vous souhaite le bonjour ,have a nice day,i wish you the    
cest notre voiture,this is our car,its our car     
cest chronophage,its timeconsuming,thats is      
ah la jeunesse,ah to be young again,wow it      
tu es terrifiant,youre terrifying,youre temperamental      
il le faut,this is required,i need it     
quel est le tarif du bus ,whats the bus fare,whats is the bus    
nous navons aucun commentaire,we have no comment,we have no comment    
il me faut un médecin,i need a doctor,i need a medic    
peuxtu le prendre ,can you pick it up,can you write it    
tom lui a tiré dessus,tom shot her,tom shot him     
elles veulent la meilleure,they want the best,they want the best    
il ma eu,he tricked me,he got me     
montez dans la voiture maintenant ,get in the car now,get in the car now   
où est la télécommande ,wheres the remote,wheres the      
je le fis pour vous,i did it for you,i did it for you   
je suis heureuse que vous soyez là,im happy youre here,im happy youre here    
nous sommes dépourvus de préjugés,were unprejudiced,were unprejudiced      
prenez les miens,take mine,take mine      
je vais prendre la même chose,ill have the same,ill take the same    
ce nest pas ton jour,today is not your day,thats not that day    
tom peut rester,tom can stay,tom can stay     
les deux filles ont ri,both girls laughed,the girls laughed     
ils se mirent en cercle,they formed a circle,they danced in circle    
garde ton manteau sur toi,keep your coat on,keep your  please    
je pense que cest bien,i think its good,i think its ok    
au poil ,terrific,go the      
je ne devrais pas boire,i shouldnt drink,i dont have drinking    
êtesvous occupées ,are you busy,are you busy     
comment se passe la recherche demploi ,hows the job hunt,how did the cake    
cétait terrifiant,it was terrifying,it was french     
lhomme est mortel,everybody will die,man is mortal     
marie est la femme de tom,mary is toms wife,mary is toms wife    
je vais avoir besoin de vous,im going to need you,im going to you    
estce quil faisait froid ,was it cold,is it  cold    
je nai pas besoin de sieste,i dont need a nap,i dont have a    
comment la trouveton ,how do we find it,how do we find it   
montremoi tes papiers ,show me your papers,show me your papers    
jirai,i will go,ill go      
je ne dirais pas non à un verre,i could use a drink,i meant no a drink   
ne le contez à personne ,dont tell anybody,dont trust anyone     
nous sommes toutes différentes,were all different,were all different     
il est incapable de le faire,he is unable to do it,he not to do it   
détrompetoi ,dont delude yourself,take for      
elle pleurait amèrement,she wept bitterly,she cried bitterly     
jai répondu au téléphone,i answered the phone,i forgot the  bill   
il me maltraita,he treated me badly,he got me     
qui vous a envoyée ,who sent you,who sent you     
jai été accusé injustement,i was falsely accused,i was a bonus    
tom me tape sur les nerfs,tom gets on my nerves,tom gets on my nerves   
ils peuvent chanter,theyre able to sing,they can sing     
fais une offre,make an offer,take a wild     
puisje avoir cette danse ,can i have this dance,may i  this dance   
jétais très malchanceux,i was really unlucky,i was very unlucky    
je vous prie de fermer la porte,shut the door please,shut the door please    
vous nêtes vraiment pas marrant,youre no fun at all,youre not no fun    
tout ceci est nouveau pour moi,all this is new to me,thats all over door    
il est trop vieux pour elle,hes too old for her,hes too old for    
écartetoi ,step aside,stand aside      
la tentative a échoué,the attempt failed,the twins failed     
utilise ceci,use this,use this      
nous éclatâmes de rire,we broke up,we have laughing     
cest un record du monde,its a world record,its a grouch     
jai été incarcérée,i was detained,i was beaten     
arrête de masticoter ,stop poking me,stop shooting      
ce nest pas grave,it isnt important,thats not      
mon dos me fait encore mal,my back still hurts,my like back     
emmènemoi ailleurs,get me out of here,itll will help     
tom rit,tom is laughing,tom laughed      
sortez de mon lit ,get out of my bed,get out of my bed   
nous ne sommes pas sérieuses,were not serious,were not serious     
il la fait de nouveau,he did it again,he did it again    
tom a lair furieux,tom looks mad,tom looks angry     
tom est bon en plongée,tom is good at diving,toms is      
tu sembles satisfaite,you seem content,you seem content     
je suis prêt pour partir,im ready to go,im ready to go    
saisissezvous de ça ,grab that,run that      
ne jetez pas cette tasse,dont drop that cup,dont break this     
il faisait vraiment froid,it was really cold,it was really     
les murs ont des oreilles,walls have ears,the us two france    
faites attention à vous ,watch yourselves,watch yourselves yourself     
tom nest pas dangereux,tom isnt dangerous,tom is dangerous     
vous avez lair européen,you look european,you look european     
ils sont tous là,theyre all here,theyre all here     
je crois que lamour existe,i believe love exists,i believe tom frantic    
je le goberais,id buy that,i recommend it     
qui vous la raconté ,who told you,who  you     
je sais que tom a disparu,i know tom has gone,i know tom has gone   
vous me dégoutez,you disgust me,you  me     
jaime ton tableau,i like your painting,i like your painting    
tu es tellement idiote ,you are so stupid,youre such an     
estce ton portemonnaie ,is this your wallet,is this your wallet    
il ne me fallait pas y aller,i didnt have to go,i didnt have go    
il commença à courir,he began to run,he began to running    
déverrouillele,unlock it,ill successful      
êtesvous maniaque ,are you a maniac,are you a     
ça nest simplement pas sécurisé,its just not safe,this not  rude    
tu te sens bien ,are you feeling ok,are you feeling     
jai une invitation,i have an invitation,i have a temper    
il ny a eu aucun dommage,there was no damage,there was no damage    
je lai fait de nombreuses fois,i did it many times,i did it a lot   
navezvous pas encore mangé ,havent you eaten yet,didnt you not yet    
nous étions amis,we were friends,we were friends     
il ne vit rien,he didnt see a thing,he probably nothing     
je suis fortuné,im wealthy,im naked      
je suis un fondu de photo,im a shutterbug,im a  maid    
jaime cette coutume,i like this custom,i like this     
il ne faisait pas si froid,it wasnt that cold,it wasnt that cold    
elle ne me la jamais dit,she never told me,she never told me    
tes irrésistible,youre irresistible,youre your      
je vais appeler les flics,ill call the cops,ill call the cops    
ça a lair super ,it sounds great,it looks nice     
êtesvous honnêtes ,are you honest,are you honest     
ils ont peur de lui,theyre afraid of him,theyre afraid of him    
prends une profonde inspiration,take a deep breath,take a deep breath    
où sont mes bagages ,where is my luggage,wheres my      
vous ontelles repérée ,have they spotted you,have they spotted you    
tom est content,toms glad,tom is      
je suis fidèle,im faithful,im loyal      
jétais embarrassé,i was embarrassed,i was unlucky     
les feuilles tombèrent,the leaves fell,the leaves      
jétais très jalouse,i was very jealous,i was very jealous    
il me faut davantage de pouvoir,i need more power,i need more power    
estu jaloux ,are you jealous,are you envious     
lâchezmoi la main ,let go of my hand,let go of my hand   
jai fait ce quon ma dit,i did as i was told,i did what i  told  
tu nes pas grosse,youre not fat,youre not big     
personne ne vous a reconnue,no one recognized you,nobody recognized you     
j’étais professeur,i was a teacher,i was a one    
je me sens bizarre,i feel strange,i feel      
elle aime le vin,she likes wine,she loves wine     
tout le monde se tient debout,everyone is standing,everyone is up     
je ne sors pas avec un garçon,i dont date,im not date at    
je laisse cela à tes soins,i leave that to you,i leave that to  you  
va réveiller tom,go and wake tom up,go wake  tom    
je redoute lexamen,im dreading the exam,i feel the exam    
qui va là ,who goes there,whos is there     
cest sympa,this is cool,thats cool      
beaucoup de gens font ça,many people do this,day  people like it   
ne pouvezvous pas nous aider ,cant you help us,cant you help us    
jadore les jaunes d’œufs,i love egg yolks,i love their imagination    
ce nest pas ici,its not here,thats not here     
ça ne suffit pas,thats not enough,this isnt enough     
cette radio estelle la tienne ,is this radio yours,is this  yours now   
vous êtes charmante,youre charming,youre charming      
pourraistu me mettre au courant ,could you fill me in,could  fill me    
cest mon raisonnement,thats my reasoning,thats my      
je suis désolé davoir dit cela,im sorry i said that,im sorry i said that   
lété est terminé,the summer is over,summer is over     
je ny suis pas allée,i didnt go,i didnt go there    
arrêtez de vous battre,stop fighting,stop fighting      
vous nen aurez pas besoin,you wont need it,you wont need that    
je veux danser,i want to dance,i want to dance    
il me faut cesser,i have to stop,i have to stop    
questce que tu dis ,whatre you saying,what you  say    
tom ne peut pas maider,tom cant help me,tom cant help me    
astu fait ceci ,did you make this,did you do this    
je suis allé seul à la maison,i went home alone,i went home     
astu donné un coup de main ,did you help,did you help     
tom était bien rasé,tom was cleanshaven,tom was a     
je suis la professeur,im the teacher,im the teacher     
tom regarda,tom looked,tom looked      
parle français sil te plaît,please speak french,eat your please     
elles ont gagné,they won,they won      
hors de question ,no way,no way      
plaîtil ,pardon me,i me your     
la radio séteignit,the radio died,the radio the     
il ricanait,he chuckled,he is      
me trompéje ,am i wrong,i me      
voici ton verre ,heres your drink,heres your drink     
jarrangerai ça,ill arrange that,ill arrange it     
me connaissezvous ,do you know me,do you know him    
tom est resté calme,tom stayed calm,tom stayed calm     
personne ne le sut,no one knew it,no ones the     
je mennuie à mourir,im bored to death,i am to die    
jouons à un nouveau jeu,lets play a new game,lets have a new clock   
tom est un félon,tom is a felon,tom is a carpenter    
tom consolait marie,tom comforted mary,tom challenged mary     
vous êtes dépourvue dambition,youre unambitious,youre unambitious      
nous devrions être amis,we should be friends,we should be friends    
tom est fier de vous,tom is proud of you,tom is proud you    
voir cest croire,seeing is believing,seeing  believing     
je ne suis pas convaincu,im not persuaded,im unconvinced      
me connaistu ,do you know me,do you know     
tom restait dehors,tom remained outside,tom is outside     
vous êtes puissant,youre powerful,youre powerful      
je serai vite de retour,ill be right back,ill be back     
vous êtes juste à lheure,youre right on time,youre just going time    
nous sommes armées,were armed,were armed      
nestce pas exaspérant ,isnt it infuriating,isnt that      
ne croyez pas ceci,dont believe this,dont do this     
tu nas quà lignorer ,just ignore it,you have not     
reste à distance de moi,keep away from me,keep away from me    
je fais de mon mieux,im doing my best,im trying my best    
jai un peu de fièvre,i have a little fever,i have a little fever   
tom essaie,tom is trying,tom tries      
jattendrai à lextérieur,ill wait outside,i will wait outside    
qui est votre enseignant ,who is your teacher,whos your teacher     
tu es encore jeune,youre still green,youre still young     
je ne suis pas gros,im not fat,im not fat     
je le cuisis pour vous,i baked it for you,i baked it for you   
pourquoi ne peuxtu pas venir ,why cant you come,why cant you come    
tu as lair vraiment occupée,you seem really busy,you look really busy    
vrai ,really,me it      
tu es encore en train de grandir,youre still growing,youre still growing     
nous devons être prudentes,we must be cautious,we must be cautious    
où estu allé ,where did you go,where did you go    
tout le monde le vit,everybody saw it,everyone saw it     
ils se sont écrasés,they crashed,theyre stalling      
tom est devenu indigné,tom became indignant,tom became outraged     
nous navons pas le temps,we have no time,we have  time    
ce gâteauci est sucré,this cake is sweet,this is      
son visage était couvert de suie,her face was sooty,he was  manners    
nous voulons un nouveau tapis,we want a new carpet,we want a new movie   
tom glousse,tom is giggling,tom is bald     
vous mavez abandonné,you abandoned me,you gave me     
je tappellerai ce soir,ill call you tonight,ill you  once    
ce chien est hirsute,this dog is shaggy,this dog is dog    
ne te coupe pas le doigt,dont cut your finger,dont on my finger    
à cette époque nous étions plus jeunes,we were younger then,that was is sure    
nous ne le pourrions pas,we couldnt do that,we couldnt know     
atelle bien dormi ,did she sleep well,did she well     
trouvez quelquun dautre,find somebody else,find somebody else     
je peux masseoir sur tes genoux ,can i sit on your lap,may i sit on your lap  
jai fini par lemporter,i finally won,i finally on won    
vérifie bien,please make sure,check it safe     
lancezle à tom,throw it to tom,bring tom      
il est gaucher,hes a southpaw,he a      
je veux faire ceci,i want to do this,i want to do this   
écoutestu ,are you listening,leave it      
tu parles boulot ,are you talking shop,you must a work    
où estil ,where is he,where is it     
je suis impliqué,im involved,im not      
elles ont commencé à danser,they started dancing,they started dancing dance    
tom aime ça,tom loves that,tom likes that     
pourquoi suisje toujours en vie ,why am i still alive,why were you not alive   
il ny a pas de preuve,there is no proof,there no proof     
ce nest pas votre problème,its not your problem,thats not problem     
je me lève à 6 heures,i get up at six,i will get around 8   
jai eu tort,ive been wrong,i was wrong     
nous nen sommes pas sûrs,were not sure,were not sure     
elle est obstinée,shes strongwilled,she is obstinate     
cest important,this is important,thats important      
je suis parti en courant précipitamment,i ran away in a hurry,i  out quickly    
cétait de ma faute,this was my fault,it was my fault    
de quelle taille cela seratil ,how big will it be,what can you     
elle vit à new york,she lives in new york,she lives new  york   
je men souvins,i remembered it,i will it     
cest un bateau,that is a boat,thats a boat     
vous êtes organisé,youre organized,youre organized      
tu es précis,youre precise,youre precise      
et maintenant que faiton ,so what do we do now,now are you now    
estce là votre maison ,is that your house,is that your house    
je suis une personne occupée,im a busy person,im a too busy    
essayez daller plus lentement,try to go slower,try to  slower    
nous le prenons,well take it,well take it     
tout le monde va bien,everybody is fine,everyones fine      
tom était très heureux,tom was real happy,tom was very happy    
où se trouvent les toilettes ,wheres the toilet,wheres the restroom     
voulezvous prier ,do you want to pray,do you want to pray   
personne na écouté,no one listened,no one not listen    
ma mère est aisée,my mother is well off,my mother is well    
elles sont libres,theyre free,theyre free      
le chat de tom est mignon,toms cat is cute,the cat is frozen    
restez baissé,stay down,stay down      
la tirette est coincée,the zipper is stuck,the price is     
ma vie était en danger,my life was in danger,my life in  danger   
cest bien fait,its well done,thats is it     
vous avez à nouveau tort,youre wrong again,lets compromise      
tom estil reparti ,has tom returned,did tom to again    
jaime votre maison,i like your house,i like your house    
va chercher de leau ,go get some water,get some water     
trouve une solution ,find a solution,find is a     
nous parlons tous les deux français,we both speak french,we both speak french    
jespère que cela changera,i hope it will change,i can  change    
oubliez ça ,dont bother,forget about that     
je veux manger ça,i want to eat this,i want to eat    
vous ne pouvez pas avoir les deux,you cant have both,you cant both     
je dois prendre des notes,i need to take notes,i need take one    
je ne suis pas si crédule,im not that gullible,im not so naive    
elles sont tombées,they fell,they drank      
je sais qui vous êtes,i know who you are,i know who you    
ceci pourrait taider,this may help you,this might help you    
combien estce que ça coûte ,how much does it cost,what much is it    
japprouve ce projet,i agree to this plan,this       
que nastu ,what dont you have,what  you     
sa bicyclette est bleue,her bicycle is blue,his bicycle is blue    
mon français est terrible,my french is terrible,my french is     
tu es bavard,youre talkative,youre talkative      
cest ainsi que cétait,thats how it was,this how  is    
nous sommes sans voix,were speechless,were a      
fantastique ,fantastic,terrific       
elle navait plus de papier,she ran out of paper,she had a paper    
combien en voulezvous ,how much do you want,how much do you want   
je dirais que tu ten es bien sorti,id say you did well,i hope you did well   
voudriezvous mexcuser ,would you excuse me,would you excuse     
fais attention,pay attention,take care      
où se trouve la gare ,where is the station,wheres the party     
elle la épousé,she married him,she shook her     
il faut que tu le répares,you need to fix it,you must to it    
il est quelque peu jaloux,hes a bit jealous,hes a bit jealous    
avezvous une allumette ,have you got a match,have you got a match   
fumestu ,do you smoke,lets it      
mary est ma nièce,marys my niece,mary is my niece    
tom est inquiet,toms concerned,tom is      
mordstoi la langue ,bite your tongue,take your tongue     
confectionnetelle une poupée ,is she making a doll,hang a doll     
ça ne nous fait pas rire,we are not amused,it didnt not laugh    
personne ne dit rien,no one said anything,no one anything     
puisje avoir un oreiller ,can i get a pillow,may i  a receipt   
je veux les faits,i want the facts,i want your facts    
estce du bon français ,is this good french,is that like english    
jaime les chats,i like cats,i am being cats    
je t’adore tom,i love you tom,i live tom     
sil te plaît ne pleure pas,please dont cry,please dont cry     
ce fut une bonne idée,it was a good idea,that was a good idea   
qui a triché ,who cheated,who has      
mémorisez ceci,memorize this,memorize it      
sil vous plaît soyez prudent ,please be careful,please be careful     
merci pour le verre ,thanks for the drink,thanks for a     
vous êtes très flexibles,youre very flexible,youre very flexible     
veuillez venir à lheure,please come on time,please come on     
je me suis senti mal,i felt bad,i felt bad     
jai besoin dune autre chance,i need another chance,i need another chance    
je suis incapable de faire ceci,im unable to do that,im unable to do this   
tom est simplement effrayé,tom is just afraid,tom is just     
ne soyez pas si indignés ,dont be so outraged,dont be so impatient    
nous sommes surprises,were surprised,were surprised      
jai lu des livres,i read some books,i read the books    
je me suis poliment incliné,i bowed politely,i  left     
cela ne change rien,that changes nothing,this changes nothing     
doisje étudier ,do i have to study,do i to eat    
quel cinglé ,what a jerk,what a prospect     
ils sont en train de temporiser,theyre stalling,theyre stalling      
je te suggère daller à louest,i suggest you go west,i suggest you go west   
donnemoi les diamants,give me the diamonds,give me the diamonds    
je ne suis pas extraverti,im not outgoing,im not outgoing     
il a attrapé froid,he has a cold,he caught a cold    
cest une passade,its a fad,thats a scam     
il reconnut sa culpabilité,he admitted his guilt,he flew to down    
tu as ma tasse,you have my mug,you broke my     
je suis parti,i left,im left      
avec qui êtesvous allée ,who did you go with,who did you go to   
le tien est meilleur,yours is better,yours is better     
je ne suis quun touriste,im just a tourist,im a  student    
le poisson pue,the fish smells bad,the fish bad     
je suis déjà allé en europe une fois,i went to europe once,i went  once    
comment faistu cela ,how do you do that,how do you do that   
cest une femme tranquille,she is a quiet woman,thats a  high    
finissez ceci,finish this,finish this      
il sagit dune rumeur,its a rumor,its is rumor     
je vous adore tous,i love all of you,i love all     
tom a beaucoup voyagé,tom traveled a lot,tom has a lot    
il faut que ça change,this needs to change,i must this change    
vrai ,no kidding,me it      
va chercher ton casque,go get your helmet,get your      
on se calme ,easy does it,take all      
on suspecte un empoisonnement,we suspect poisoning,we have a     
ce fut une chouette fête,it was a nice party,it was a good    
je nétais pas saoul,i wasnt drunk,i wasnt drunk     
cétait un mensonge,this was a lie,it was a lie    
je me rends en ville,im going downtown,i sleep in downtown    
tu ferais mieux de venir,youd better come,you better come     
je passerai,ill pass,ill go      
cest du pipeau tout ça,its phony,thats all  that    
le feu séteignit,the fire went out,the shotgun the off    
retirez vos vêtements ,take off your clothes,take your clothes     
en un sens cest vrai,it is true in a sense,in a its too true   
tom a eu un coup de soleil,tom got sunburned,tom got sunburned     
tom vous fait confiance,tom trusts you,tom trusts you     
veuillez me permettre dy aller,please allow me to go,ill let me go    
les choses se passentelles bien ,are things going well,things  bad     
ferme la porte,shut the door,close the door     
reste cool,take it easy,keep cool      
on a discuté brièvement,we chatted briefly,we spoke briefly     
vous avez lair satisfait,you look contented,you look satisfied     
je suis plus élégante que vous,im smarter than you,im smarter than you    
testu fait des amis ,have you made friends,have you got friends    
je ne suis pas dhumeur,im not in the mood,i dont feel it    
grimpez dans le bateau ,get in the boat,get in the boat    
tom a eu son diplôme,tom graduated,tom went his lunch    
tu nes pas spécial,youre not special,youre not special     
il sagit de lune des nôtres,thats one of ours,take one of us    
le prix est trop élevé,the price is too high,the price is too bad   
ne radotez pas,dont ramble,dont overdo      
ne change pas quoi que ce soit ,dont change a thing,dont find that anything    
vous êtes de nouveaux étudiants,you are new students,youre the owners     
tom est tout ouïe,tom is all ears,tom is all     
nous sommes lundi,its monday,well on monday     
connaistu ce mot ,do you know this word,do you like this word   
la vie nest pas facile,life isnt easy,life aint easy     
déguerpissez,go away,get away      
quel est ton métier ,whats your job,whats your      
ils ne sont pas mal,theyre not bad,theyre not bad     
jai eu une bonne institutrice,i had a good teacher,i have a good teacher   
elles ont chargé le camion,they loaded the truck,they loaded the truck    
le chien est à eux,the dog is theirs,the dog is ours    
va chez nous maintenant,go home now,go home now     
la baignoire est sale,the bathtub is dirty,the fork is dirty    
jai fini,ive finished,im done      
en avezvous un duplicata ,do you have a copy,do you have a one   
faisons ceci plus tard,lets do this later,lets do this     
sur quoi avezvous mis la main ,what did you turn up,how did you it    
que diriezvous de vendredi ,how about friday,how about friday     
vous plaisantez ,youre kidding,are you      
où est ma sœur ,wheres my sister,wheres my sister     
mon cheval est noir,my horse is black,my horse  black    
jadore la nourriture italienne,i love italian food,i love the food    
cest une belle journée aujourdhui,its a nice day today,its a  day    
tranquille,loosen up,bite down      
estce ton vélo ,is this your bicycle,is this your bicycle    
vérifions la carte ,lets check the map,lets down the file    
ils se sont détendus,they relaxed,theyre relaxed      
on mangera sur le chemin,well eat on the way,well keep the way    
faites simplement votre travail ,just do your job,just do your job    
dismoi sil te plaît,please tell me,please me  please    
jai besoin dun emploi,i need to get a job,i need a job    
tu connais les règles,you know the rules,do know the rules    
y sommesnous prêtes ,are we prepared,are we  for    
estce que je commence ,shall i begin,do i start     
pouvonsnous fermer la porte ,can we close the door,can we play the door   
il se sent blessé,he feels hurt,he sounds hurt     
ce nest pas ma clé,this isnt my key,thats not my     
bouge ,get lost,get away      
cest inapproprié,its inadequate,this is inappropriate     
ces bottes sont à tom,those boots are toms,these books are tom    
il me faut vraiment y aller,i really ought to go,i really need to go   
tu lemportes,youre winning,are you it     
reste avec moi,stay with me,stay with me     
tom vous aime toutes,tom loves you all,tom loves all you    
il me la montré,he showed it to me,he showed me the up   
je savais que je devais arrêter,i knew i had to stop,i knew i to give up  
astu vu la nouvelle ,did you see the news,did you see the news   
personne ne vous a reconnu,nobody recognized you,no one recognized you    
tom est aimable,toms friendly,tom is friendly     
le chien est blanc,the dog is white,the dog is white    
quel parfait imbécile ,what a total idiot,youre it      
va faire du popcorn,go make popcorn,go make popcorn     
ils ne sont pas dangereux,theyre harmless,theyre not dangerous     
jy suis habitué,im used to it,im used to it    
qui maime aime aussi mon chien,love me love my dog,who did my  dog   
japprécie les femmes,i like women,i like the     
elle sait parler français,she can speak french,she can speak french    
vous navez pas été bonne,you were bad at it,you were bad at it   
ça na pas de sens,this is pointless,it makes no sense    
je viens juste de le voir,i saw him just now,i just  got it   
cette boîte est lourde,that box is heavy,this table is heavy    
questce que tu as fait ,what did you make,what did you do it   
cest un secret de famille,its a family secret,its a  family    
je vois que vous êtes prête,i see you are ready,i want you ready    
elles ne peuvent être sauvées,they cannot be saved,they cannot be     
jaurais dit non,id have said no,i couldve no     
tu as lair dun garçon,you look like a boy,you look like a    
nous nous en approchons,were getting close,were getting close     
le petit déjeuner estil inclus ,is breakfast included,toms french went     
jai fermé le tiroir,i shut the drawer,i shut the drawer    
cest un gros choc,thats a big blow,thats a nice man    
je veux celleslà,i want these,i want these     
vous navez pas lair bien,you dont look well,you dont feel well    
ditesleur qui nous sommes,tell them who we are,them  who are    
je ne baisse pas facilement les bras,im no quitter,im sing pay     
va dormir ,go to sleep,go to bed     
jécoute,im listening,make it      
il me faut celuici,i need this one,i need this one    
astu un crayon ,do you have a pencil,do you have a one   
ma maison est toute petite,my house is tiny,my house is  small   
tu les vois ,can you see them,do see      
pourquoi êtesvous si silencieuse ,why are you so quiet,why are you so quiet   
je voulais lépouser,i wanted to marry him,i wanted to marry her   
thomas toussota,tom coughed,tom is back     
dites à tom que je reviendrai,tell tom ill be back,tell  tom to    
elles sont arrivées trop tôt,they arrived too soon,they arrived too soon    
mon père me tuera,my dad will kill me,my father is me    
tenez la porte sil vous plaît,hold the door please,please the door     
vous nous obéirez,you will obey us,you  us     
tom travaille,toms working,tom has working     
tom a vu mary,tom saw mary,tom saw mary     
jadore les aubergines,i love eggplant,i love hiking     
nentrez pas,keep out,dont overdo      
asseyezvous où ça vous chante ,sit wherever you like,hello where you can    
tom aime les échecs,tom likes chess,tom likes coffee     
il ma touchée,he touched me,he touched me     
jen ai besoin aujourdhui,i need it today,i need you today    
restez concentrées,keep focused,dont get sidetracked     
lavezvous aimé ,did you like it,did you like it    
lui faitesvous confiance ,do you trust her,she will trust     
taije blessée ,did i hurt you,did i hurt you    
jai tourné ces images,i shot this footage,i love the diary    
nous avons affrété un car,we chartered a bus,we have a bus    
tes givrée ,youre nuts,youre nuts      
cette chaise estelle libre ,is this seat empty,is this seat free    
je suis sûre que nous sommes toutes daccord,im sure we all agree,im sure we  agree   
ils chassaient les renards,they hunted foxes,they hunted foxes     
où latil fait ,where did he do it,where did you it    
vous étiez dans le coma,you were in a coma,you were in  coma   
ils ont découvert la chose,they found out,they found out     
laissezlemoi,leave this to me,thatll for      
je lui ai donné quelques bonbons,i gave her some candy,i gave him a lunch   
quelquun a toussé,someone coughed,somebody       
entre,come on in,come in      
il mange beaucoup,he eats a lot,he swim a lot    
je suis gelé,im freezing,im forgetful      
je vous souhaite la meilleure des chances,best of luck to you,thatll work      
qui est allé avec toi ,who went with you,who went with     
vous temporisez,youre stalling,you       
cest simplement incorrect,thats just not right,thats just awesome     
nous achetons,were buying,we going      
nous étions préoccupées,we were concerned,we were concerned     
je suis très satisfait,i am very pleased,im very      
nous nous sommes assis làbas,we sat there,were sat in there    
je peux survivre tout seul,i can survive alone,i can survive alone    
à qui est ce chien ,whose dog is this,whose whats is this    
cest notre seul espoir,its our only hope,thats our only hope    
elles ont un problème,they have a problem,they have a problem    
tu es motivé,youre motivated,youre motivated      
les tests débutent la semaine prochaine,tests start next week,send in a week    
elles ne vous apprécient pas,they dont like you,they dont like you    
parfait ,perfect,lets choose      
cest toi lenseignante,youre the teacher,youre the teacher     
jai acheté ceci pour vous,i bought this for you,i bought that for you   
il est sûr de réussir,he is sure of success,hes is to succeed    
je suis vraiment très occupée,i really am very busy,im really  busy    
personne ne survivra,no one will survive,nobody will survive     
vérifie ça,check that,check that out     
tom se tut,tom remained silent,tom is going     
tom a commencé à sourire,tom started grinning,tom started grinning     
tom est également en danger,tom is in danger too,tom is in  danger   
comment réalisestu une boîte ,how do you make a box,how is a box    
jai la nostalgie de la fac,i miss college,i saw the college    
le chagrin la rendit folle,grief drove her mad,the cat lost crazy    
vous ne pouvez pas arrêter,you cant give up,you cant give up    
nous sommes dépourvus demplois,were unemployed,we have no jobs    
la vie humaine est sacrée,human life is sacred,the aint is enough    
y atil quelquun ,anybody home,anybody  there     
ce fut une tragédie,it was a tragedy,it was a shark    
il sest fait couper les cheveux,he had his hair cut,he has soccer     
il est possible que tu sois blessé,you might get hurt,you   be mistaken   
soyez équitables ,be fair,be brief      
il ny a pas de sucre,theres no sugar,there is sugar     
nous nous en sommes bien tirés,we did fine,we were well     
